BEFORE FIX

+-----------------------------+----------------+------+------+
| title                       | library_alt_id | url  | id   |
| Unknown Witness #23, Part 1 | 1853/37738     | 1642 | 1642 |
| Unknown Witness #23, Part 2 | 1853/37463     | 1643 | 1643 |

| Unknown Witness #24, Part 1 | 1853/37458     | 1583 | 1188 |
| Unknown Witness #24, Part 2 | 1853/37770     | 1584 | 1202 |

| Unknown Witness #25, Part 1 | 1853/37805     | 1640 | 1764 |
| Unknown Witness #25, Part 2 | 1853/38126     | 1171 | 1765 |
| Unknown Witness #25, Part 3 | 1853/38109     | 1197 | 1766 |

| Unknown Witness #26, Part 1 | 1853/38010     | 1188 | 1583 |
| Unknown Witness #26, Part 2 | 1853/38058     | 1202 | 1584 |
| Unknown Witness #26, Part 3 | 1853/37586     | 1644 | 1644 |

| Unknown Witness #27, Part 1 | 1853/37444     | 1639 | 1438 |
| Unknown Witness #27, Part 2 | 1853/38173     | 1182 | 1848 |
